id,advisor_id,additional_text_1,additional_text_2,additional_text_3,additional_text_4,additional_text_5,additional_text_6,created_at,updated_at
68,528,Sykes Ihlenfeldt Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered on the Financial Conduct Authority services register under reference number: 442051.,,,,,,12/15/2020 2:18,12/17/2020 2:30
70,526,Wealthmasters Financial Management Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 536087.,,,,,,12/15/2020 3:05,12/15/2020 3:05
71,551,Hexagon Financial Services Ltd is an appointed representative of HL Partnership Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 844812.,,,,,,12/15/2020 3:37,12/15/2020 3:37
72,525,Abacus Associates Financial Services is a trading name of Tavistock Partners (UK) Limited. Tavistock Partners (UK) Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 230342.,,,,,,12/15/2020 3:52,12/15/2020 3:52
73,523,Rose Financial Planning is a trading name of David Ian Rose. David Ian Rose is an appointed representative of New Leaf Distribution Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 809824.,,,,,,12/15/2020 4:55,12/15/2020 4:55
74,522,Silver Birches Financial Planning Ltd is an appointed representative of Quilter Financial Planning Solutions Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 840469.,,,,,,12/15/2020 5:39,12/15/2020 5:39
75,521,Money Advice & Planning Ltd is authorised and regulated by the Financial Conduct Authority and is entered in the Financial Conduct Authority services register under reference number: 489927.,,,,,,12/15/2020 21:32,12/15/2020 21:32
76,520,Oakdale Financial Services Ltd is an appointed representative of St. James's Place Wealth Management Plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 575995.,,,,,,12/15/2020 22:10,12/15/2020 22:10
77,519,Beaufort Financial is a trading name of Beaufort Financial Planning (North West) Limited. Beaufort Financial Planning (North West) Limited is an appointed representative of Beaufort Financial Planning Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 407940.,,,,,,12/15/2020 22:50,12/15/2020 22:50
78,518,Fairstone Financial Management Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 475973.,,,,,,12/16/2020 0:04,12/16/2020 0:04
79,517,Middleton Wealth Management is a trading name of Greg Middleton Wealth Management Ltd. Greg Middleton Wealth Management Ltd is an appointed representative of of St. James's Place Wealth Management Plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 601496.,,,,,,12/16/2020 2:04,12/16/2020 2:04
80,516,Verus Financial Services Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 765214.,,,,,,12/16/2020 2:26,12/16/2020 2:26
81,515,Mortgage Advice Bureau is a trading name of Your Mortgage and Protection Limited. Your Mortgage and Protection Limited is an appointed representative of Mortgage Advice Bureau Limited and Mortgage Advice Bureau (Derby) Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 913037.,,,,,,12/16/2020 3:07,12/16/2020 3:07
82,514,Canford Financial Services is an appointed representative of TenetLime Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 739662.,,,,,,12/16/2020 3:36,12/16/2020 3:36
83,552,Prestige Wealth Planning is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 571609.,"Head office address: Prestige Wealth Planning, Suite 19, Brooklands House, 58 Marlborough Road, Lancing Business Park,
Lancing, West Sussex, BN15 8AF",,,,,12/16/2020 3:47,12/18/2020 22:40
84,513,Sirius Wealth Management LLP is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 920310.,,,,,,12/16/2020 4:21,12/16/2020 4:21
85,512,Tomorrow Mortgages is a trading name of Brook Financial Services Limited. Brook Financial Services Limited are an appointed representative of Mortgage Advice Bureau Limited and Mortgage Advice Bureau (Derby) Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 529047.,,,,,,12/16/2020 5:27,12/16/2020 5:27
86,510,Camargue Wealth Ltd is an appointed representative of Quilter Financial Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 749215.,,,,,,12/16/2020 21:51,12/16/2020 21:51
87,509,Anglian Wealth Management is a trading name of Ian Farrant. Ian Farrant is an appointed representative of St. James's Place Wealth Management Plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 499227.,,,,,,12/16/2020 22:54,12/16/2020 22:54
88,507,Sandringham Financial Partners Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 581304.,,,,,,12/16/2020 23:14,12/16/2020 23:14
89,506,Paragon Financial Partners LLP is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 711931.,,,,,,12/16/2020 23:34,12/16/2020 23:34
90,505,Fair Trade IFA is a trading name of Stephen Holmes. Stephen Holmes is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 504022.,,,,,,12/17/2020 0:56,12/17/2020 1:00
91,504,First Service Financial Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 479175.,,,,,,12/17/2020 1:20,12/17/2020 1:20
93,553,Sandringham Financial Partners Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 581304.,,,,,,12/17/2020 1:47,12/17/2020 1:47
94,502,Sykes Ihlenfeldt Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered on the Financial Conduct Authority services register under reference number: 442051.,,,,,,12/17/2020 2:25,12/17/2020 2:25
96,438,Inspire Wealth Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 461089.,,,,,,12/17/2020 3:26,12/17/2020 3:26
97,499,Aspire Financial Management Ltd is an appointed representative of TenetConnect Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 568595.,,,,,,12/17/2020 4:28,12/17/2020 4:28
98,498,Oracle Financial Solutions is a trading name of New Leaf Distribution Ltd. New Leaf Distribution Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 460421.,,,,,,12/17/2020 23:14,12/17/2020 23:14
99,489,Charles Derby Wealth Management Limited is an appointed representative of Quilter Financial Services Limited and Quilter Mortgage Planning Limited and is entered in Financial Conduct Authority (FCA) services register under reference number 535816.,,,,,,12/17/2020 23:22,12/18/2020 2:34
100,484,Quilter Financial Advisers Limited is an appointed representative of Quilter Financial Services Limited and Quilter Mortgage Planning Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number 452529.,,,,,,12/17/2020 23:45,12/17/2020 23:45
101,497,Casterdon Wealth Management Ltd is an appointed representative of St. James's Place Wealth Management Plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 541861.,,,,,,12/17/2020 23:46,12/17/2020 23:46
102,493,Cheshire Wealth Partnership Ltd is an appointed representative of L J Financial Planning Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 605920.,,,,,,12/18/2020 1:23,12/18/2020 1:23
104,490,Tom McCormick Wealth Management is a trading name of Tom McCormick. Tom McCormick is an appointed representative of St. James's Place Wealth Management Plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 766531.,,,,,,12/18/2020 2:14,12/18/2020 2:14
106,554,Assured Private Wealth Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 718755.,,,,,,12/18/2020 3:50,12/18/2020 3:50
107,487,The North East Mortgage Centre is a trading name of Steel River Financial Limited. Steel River Financial Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 781149.,,,,,,12/18/2020 3:50,12/18/2020 3:50
108,486,Wilson Wealth Management is a trading name of William Wilson. William Wilson is an appointed representative of St. James's Place Wealth Management Plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 571688.,,,,,,12/18/2020 4:07,12/18/2020 4:07
109,485,Bramley Financial Planning Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 789902.,,,,,,12/18/2020 4:22,12/18/2020 4:22
110,483,CHL Finance Limited is an appointed representative of Goldwire Financial Solutions Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 922547.,,,,,,12/18/2020 5:26,12/18/2020 5:26
112,478,MML Financial Associates Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 577269,,,,,,12/18/2020 20:16,12/18/2020 20:16
113,473,Mosaac Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 581080,,,,,,12/18/2020 20:24,12/18/2020 20:24
114,472,Octagon Financial Services Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 843997.,,,,,,12/18/2020 20:28,12/18/2020 20:28
115,464,AFH Wealth Management  is a trading name of AFH Independent Financial Services Limited. AFH Independent Financial Services Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 216704,,,,,,12/18/2020 20:47,12/18/2020 20:47
116,430,NJ Taylor Wealth Management is a trading name of Neil Taylor. Neil Taylor is is an appointed representative of St. James’s Place Wealth Management PLC and is entered in the Financial Conduct Authority (FCA) services register under reference number: 736397,,,,,,12/18/2020 22:04,12/18/2020 22:04
117,481,Just Mortgages is a trading name of Just Mortgages Direct Limited. Just Mortgages Direct Limited is an appointed representative of Openwork Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 404016.,,,,,,12/18/2020 22:12,12/18/2020 22:12
118,429,"Plutus Partnership Ltd is an appointed representative of Smith, Law & Shepherds IFA Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 780346",,,,,,12/18/2020 22:14,12/18/2020 22:14
119,428,Neales Financial Management Limited  is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 191772,,,,,,12/18/2020 22:24,12/18/2020 22:24
120,480,Tessyman Wealth Management Ltd is an appointed representative of St. James's Place Wealth Management Plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 769918.,,,,,,12/18/2020 22:42,12/18/2020 22:42
121,479,Cox Financial Services Ltd is an appointed representative of Quilter Financial Services Limited and Quilter Mortgage Planning Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 734843.,,,,,,12/18/2020 23:00,12/18/2020 23:00
122,477,Taurus Global Financial Advisers Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 516955.,,,,,,12/18/2020 23:25,12/18/2020 23:25
123,476,City Mortgage Solutions Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 466719.,,,,,,12/18/2020 23:41,12/18/2020 23:41
124,474,Futures Assured Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 441384.,,,,,,12/18/2020 23:58,12/19/2020 0:01
125,471,CDC Consultancy Limited is an appointed representative of Quilter Financial Services Limited and Quilter Mortgage Planning Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 768246.,,,,,,12/19/2020 1:47,12/19/2020 1:47
126,470,Continuum is a trading name of Continuum (Financial Services) LLP which is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 802331.,,,,,,12/19/2020 2:01,12/19/2020 2:01
127,469,Blackroot Financial Planning is a trading name of Blackroot Limited. Blackroot Limited is authorised & regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 616966.,,,,,,12/19/2020 2:25,12/19/2020 2:25
128,467,Home Owners Advice Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 813071.,,,,,,12/19/2020 2:36,12/19/2020 2:36
129,466,Uni-Plan Financial Solutions Limited is an appointed representative of Openwork Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 577048.,,,,,,12/19/2020 2:58,12/19/2020 2:58
130,465,Fidenti Financial Planning Ltd is an appointed representative of Quilter Financial Planning Limited and Quilter Mortgage Planning Limited. Fidenti Financial Planning Ltd is entered in the Financial Conduct Authority (FCA) services register under reference number: 677885.,,,,,,12/19/2020 3:11,12/19/2020 3:11
131,463,Victoria Mortgages is a trading name of Infinity Financial Advisors Ltd. Infinity Financial Advisors Ltd is an appointed representative of Quilter Financial Services Limited and Quilter Mortgage Planning Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 917003.,,,,,,12/19/2020 3:49,12/19/2020 3:49
132,462,Truly Independent Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 513655.,,,,,,12/19/2020 4:12,12/19/2020 4:12
133,461,Smith Hobbs Wealth Management Limited is an appointed representative of St. James's Place Wealth Management Plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 764930.,,,,,,12/19/2020 4:24,12/19/2020 4:24
134,460,One Financial Solutions Ltd is an appointed representative of 2plan wealth management Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 607130.,,,,,,12/19/2020 5:08,12/19/2020 5:08
135,427,Sandringham Financial Partners Ltd (‘Sandringham’) is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 58130.,,,,,,1/4/2021 23:02,1/4/2021 23:02
136,426,Quilter Financial Advisers Limited is an appointed representative of Quilter Financial Services Limited and Quilter Mortgage Planning Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number:440703.,,,,,,1/4/2021 23:31,1/4/2021 23:31
137,425,Camargue Wealth Ltd is an appointed representative of Quilter Financial Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 749215.,,,,,,1/4/2021 23:41,1/4/2021 23:41
138,424,Finance Planning Wealth Management Limited is an appointed representative of TenetConnect Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 673741,,,,,,1/4/2021 23:50,1/4/2021 23:58
139,555,Edward Frazer Limited is an appointed representative of Sandringham Financial Partners Ltd (‘Sandringham’) and is entered in the Financial Conduct Authority (FCA) services register under reference number: 495467.,,,,,,1/5/2021 3:29,1/5/2021 3:29
140,422,Finance Planning Wealth Management Limited is an appointed representative of TenetConnect Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 673741,,,,,,1/5/2021 22:01,1/5/2021 22:01
141,421,"TMF Wealth Management is a trading name of Mortgage Factory UK Ltd , which is an appointed representative of Quilter Mortgage Planning Limited and Quilter Financial Planning Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 490722",,,,,,1/5/2021 22:06,1/5/2021 22:06
142,420,Wealth Aspirations LLP is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number:573420,,,,,,1/5/2021 22:29,1/5/2021 22:29
144,418,PSA (Financial Services) Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 231108,,,,,,1/5/2021 23:01,1/5/2021 23:01
145,556,Apex Financial Services is a trading name of Matthew Jones. Matthew Jones is an appointed representative of St. James's Place Wealth Management Plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 924704.,,,,,,1/6/2021 2:02,1/6/2021 2:02
146,459,Midland Finance Limited is an appointed representative of Stonebridge Mortgage Solutions Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 912657.,,,,,,1/6/2021 2:25,1/6/2021 2:25
147,458,John Wilson Mortgages One Stop is a trading name of John Wilson. John Wilson is an appointed representative of The Right Mortgage Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 922776.,,,,,,1/6/2021 3:15,1/6/2021 3:15
148,457,GHL Direct is a trading name of GHL Network Services Ltd. GHL Network Services Ltd is an appointed representative of Openwork Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 497119.,,,,,,1/6/2021 4:14,1/6/2021 4:14
149,415,Clarity Wealth Management LLP is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number:575252.,,,,,,1/6/2021 22:01,1/6/2021 22:01
150,456,PENSIONEXPERT4U LIMITED is an appointed representative of Studio 61 Wealth Management and is entered in the Financial Conduct Authority (FCA) services register under reference number: 713008.,,,,,,1/7/2021 2:10,1/7/2021 2:10
151,557,Vision Independent Financial Planning is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 487395.,,,,,,1/7/2021 3:37,1/7/2021 3:37
152,414,Aisa Professional is a trading name of Aisa Financial Planning Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 189652.,,,,,,1/7/2021 21:46,1/7/2021 21:46
153,413,The Partner Practice is an Appointed Representative of St. James's Place Wealth Management plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 408201.,,,,,,1/7/2021 21:49,1/7/2021 21:49
154,416,Wolds Financial Planning Ltd is an appointed representative of 2plan wealth management Ltd. and is entered in the Financial Conduct Authority (FCA) services register under reference number: 922057,,,,,,1/7/2021 21:56,1/7/2021 21:56
155,558,Oliver Wealth Management is a trading name of Nicholas Oliver. Nicholas Oliver is an appointed representative of St. James's Place Wealth Management Plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 801615.,,,,,,1/8/2021 21:22,1/8/2021 21:22
156,412,iWealth Ltd  is an appointed representative of Best Practice IFA Group Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number:746364.,,,,,,1/11/2021 23:22,1/11/2021 23:22
157,411,Andrew Hawker Financial Management Limited is an appointed representative of TenetConnect Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number:186387.,,,,,,1/11/2021 23:25,1/11/2021 23:25
158,410,Advance Wealth Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 494241,,,,,,1/11/2021 23:43,1/11/2021 23:43
159,409,Truly Independent Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 513655,,,,,,1/11/2021 23:53,1/11/2021 23:53
160,559,Prospera Wealth Management LLP is an appointed representative of St. James’s Place Wealth Management PLC and is entered in the Financial Conduct Authority (FCA) services register under reference number: 677269.,,,,,,1/12/2021 2:49,1/12/2021 2:49
161,405,Atrium Financial is a trading name of Eadon and Co and is entered in the Financial Conduct Authority (FCA) services register under reference number: 816029.,,,,,,1/12/2021 21:51,1/12/2021 21:51
162,404,Hoyl Independent Advisers Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 433927.,,,,,,1/12/2021 21:54,1/12/2021 21:54
163,403,Lifestyle Wealth Management is a trading name of  Eadon and Co and is entered in the Financial Conduct Authority (FCA) services register under reference number: 816029.,,,,,,1/12/2021 21:58,1/12/2021 21:58
164,401,LC Financial Services is a trading name of Liam Crumlish. Liam Crumlish is an appointed representative of Quilter Financial Services Ltd  and is entered in the Financial Conduct Authority (FCA) services register under reference number:461826.,,,,,,1/12/2021 22:01,1/12/2021 22:01
165,400,"Paul Heneghan t/a Sterling Wealth Management
The Partner Practice is an Appointed Representative of and represents only St. James's Place Wealth Management plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 739305.",,,,,,1/12/2021 22:05,1/12/2021 22:05
166,399,PSA Independent Financial Advisers is a trading name of PSA Financial Services Limited. PSA Financial Services Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 231108.,,,,,,1/12/2021 22:08,1/12/2021 22:08
167,398,Varsity Finance Ltd  is an appointed representative of New Leaf Distribution Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 460421.,,,,,,1/12/2021 22:15,1/12/2021 22:15
168,560,Mat White Financial Services is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 679903.,,,,,,1/12/2021 22:20,1/12/2021 22:20
169,396,The Partner Practice is an Appointed Representative of St. James's Place Wealth Management plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 747212,,,,,,1/12/2021 22:21,1/12/2021 22:21
170,395,Quilter Financial Advisers Limited is an appointed representative of Quilter Financial Services Limited and Quilter Mortgage Planning Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 440703.,,,,,,1/12/2021 22:28,1/12/2021 22:28
171,394,Digby Associates – Positive Solutions Ltd is an appointed representative of Quilter Financial Planning Solutions Limited 631739.,,,,,,1/12/2021 23:09,1/12/2021 23:09
172,561,Primary Financial Solutions Ltd is an appointed representative of Quilter Financial Services Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 577475.,,,,,,1/12/2021 23:33,1/12/2021 23:33
173,562,Prestige Wealth Planning Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 571609.,,,,,,1/13/2021 1:20,1/13/2021 1:20
174,563,Quilter Financial Advisers Limited is an appointed representative of Quilter Financial Services Limited and Quilter Mortgage Planning Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 452529.,,,,,,1/13/2021 22:32,1/13/2021 22:32
175,391,Lowes Financial Management is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 114650.,,,,,,1/13/2021 22:46,1/13/2021 22:46
176,390,"Edale UK Management Limited, trading as Edale and Edale Investments is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 812332",,,,,,1/13/2021 23:02,1/13/2021 23:02
177,389,Eclipse Financial Planning is a trading name of Rosemount Financial Solutions Ltd. Rosemount Financial Solutions Ltd  is an appointed representative of Quilter Financial Services Limited and Quilter Mortgage Planning Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 448935.,,,,,,1/13/2021 23:09,1/13/2021 23:09
178,388,Yellow Bear Financial Consultancy LLP is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 744163,,,,,,1/13/2021 23:29,1/13/2021 23:29
179,564,City Financial Planning Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 440633.,,,,,,1/14/2021 1:12,1/14/2021 1:12
180,565,SCR Financial Services is a trading name of Susan Claire Rowley. Susan Claire Rowley is an appointed representative of Holyoakes Group Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 746595.,,,,,,1/15/2021 4:50,1/15/2021 4:50
181,443,Executive Wealth Services is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number:822396.,,,,,,1/15/2021 22:01,1/15/2021 22:01
182,568,Stockwell & Bentley Associates Ltd are authorised and regulated by the Financial Conduct Authority (FCA) and entered in the Financial Conduct Authority (FCA) services register under reference number: 728490.,,,,,,1/18/2021 22:08,1/18/2021 22:08
183,569,K D Wealth Management Ltd is an appointed representative of St. James’s Place Wealth Management PLC and is entered in the Financial Conduct Authority (FCA) services register under reference number: 595287.,,,,,,1/18/2021 23:23,1/18/2021 23:23
